Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
97	-18.42713	2.6628249	-13.174882	-24.420687	60.0	-6.752514	4.0736837	0.9413628	-19.975906	392000	-3.8146972e-08	1.1274256	-0.022745743	-0.552189	-1.7791616	0.011071693	0.15675	79.0	122.07995748519897
98	-17.720236	2.9500098	-12.822508	-24.250244	60.0	-6.7317705	3.9290502	1.0792681	-19.690914	396000	3.6239623e-08	1.19151	-0.016577767	-0.35552508	-1.7869585	0.0091995485	0.11425	45.0	123.23295593261719
99	-17.303009	2.9433248	-12.189314	-26.210342	60.0	-6.440999	3.9551487	1.5410322	-19.177872	400000	1.5735626e-08	0.9351011	-0.02363898	-0.29031152	-1.8641272	0.011357035	0.1335	57.0	124.44418549537659
100	-17.457674	2.7289183	-12.568029	-23.303408	60.0	-6.5485697	3.8965018	1.9762609	-19.458157	404000	1.1444092e-08	0.75777954	-0.006944145	-0.27036607	-1.8923929	0.007059364	0.099	2.0	125.75591945648193
101	-17.10208	2.6986055	-11.754438	-24.155773	60.0	-6.3105607	3.754642	0.76673555	-19.12339	408000	0.0	0.764239	-0.004237446	-0.17569047	-1.8978257	0.0051274234	0.04125	2.0	126.96300625801086
102	-17.81154	2.9045138	-13.0538225	-24.649668	60.0	-6.47195	3.9773529	0.82633376	-19.355354	412000	2.6702882e-08	0.54192424	-0.010740821	-0.12817907	-1.8905444	0.010753281	0.11125	12.0	128.09192490577698
103	-17.590471	2.6859317	-12.0714245	-23.216583	60.0	-6.470049	3.9875543	0.85169095	-19.119062	416000	5.2452087e-08	0.70094573	-0.022391738	-0.18729717	-1.8857621	0.011105691	0.16075	65.0	129.27703142166138
104	-17.585236	2.7070181	-13.361092	-24.251078	60.0	-6.511347	3.98293	0.91846704	-19.11126	420000	1.7166137e-08	1.1087773	-0.011153272	-0.56776744	-1.9676414	0.016654853	0.16025	7.0	130.45438194274902
105	-17.652327	2.8901436	-12.336934	-24.833414	60.0	-6.4045315	3.8222654	3.3834465	-18.571852	424000	2.8133393e-08	1.1212449	-0.0066193165	-0.33935952	-1.9898449	0.008496466	0.13325	6.0	131.62177419662476
106	-17.403456	2.640911	-12.869608	-24.358553	60.0	-6.523047	3.805127	1.0271375	-19.505333	428000	-1.3828277e-08	1.0932837	-0.0040784003	-0.51530343	-1.9612093	0.0061196047	0.068	1.0	132.69005060195923
107	-17.055773	2.5056968	-11.871145	-23.110153	60.0	-6.2336884	3.8687506	1.1691941	-18.609428	432000	3.8146974e-09	0.97529453	-0.003033144	-0.43073314	-1.9699285	0.010974972	0.13525	1.0	133.82334995269775
